ID;sex;age;race;marital-status;education;native-country;workclass;occupation;salary-class
158;Male;*;*;spouse present;*;*;*;Other;<=50K
159;Male;*;*;spouse present;*;*;*;Nontechnical;>50K
160;Male;*;*;spouse not present;*;*;*;Technical;<=50K
161;Male;*;*;spouse present;*;*;*;Technical;>50K
162;Female;*;*;*;*;*;*;Nontechnical;<=50K
163;Male;*;*;spouse not present;*;*;*;Technical;<=50K
164;Male;*;*;spouse not present;*;*;*;Nontechnical;<=50K
165;Male;*;*;spouse not present;*;*;*;Other;<=50K
166;Male;*;*;spouse present;*;*;*;Technical;<=50K
167;Male;*;*;spouse present;*;*;*;Nontechnical;>50K
168;Female;*;*;*;*;*;*;Other;<=50K
169;Male;*;*;spouse not present;*;*;*;Technical;<=50K
170;Male;*;*;spouse present;*;*;*;Technical;>50K
171;Male;*;*;spouse present;*;*;*;Other;>50K
172;Male;*;*;spouse present;*;*;*;Other;<=50K
173;Female;*;*;*;*;*;*;Nontechnical;<=50K
174;Female;*;*;*;*;*;*;Technical;<=50K
175;Male;*;*;spouse present;*;*;*;Technical;>50K
176;Female;*;*;*;*;*;*;Technical;<=50K
177;Male;*;*;spouse present;*;*;*;Technical;<=50K
178;Male;*;*;spouse present;*;*;*;Technical;<=50K
179;Male;*;*;spouse present;*;*;*;Technical;<=50K
180;Male;*;*;spouse present;*;*;*;Technical;<=50K
181;Male;*;*;spouse present;*;*;*;Other;<=50K
182;Male;*;*;spouse not present;*;*;*;Technical;<=50K
183;Female;*;*;*;*;*;*;Nontechnical;>50K
184;Male;*;*;spouse present;*;*;*;Technical;>50K
185;Male;*;*;spouse not present;*;*;*;Nontechnical;<=50K
186;Female;*;*;*;*;*;*;Technical;<=50K
187;Male;*;*;spouse present;*;*;*;Nontechnical;>50K
188;Female;*;*;*;*;*;*;Technical;<=50K
189;Female;*;*;*;*;*;*;Other;<=50K
190;Female;*;*;*;*;*;*;Nontechnical;<=50K
191;Male;*;*;spouse present;*;*;*;Other;>50K
192;Male;*;*;spouse not present;*;*;*;Technical;<=50K
193;Female;*;*;*;*;*;*;Nontechnical;>50K
194;Female;*;*;*;*;*;*;Nontechnical;<=50K
195;Male;*;*;spouse present;*;*;*;Other;<=50K
196;Male;*;*;spouse present;*;*;*;Technical;>50K
197;Female;*;*;*;*;*;*;Nontechnical;<=50K
198;Male;*;*;spouse present;*;*;*;Technical;<=50K
199;Male;*;*;spouse present;*;*;*;Technical;>50K
200;Male;*;*;spouse not present;*;*;*;Nontechnical;>50K
201;Female;*;*;*;*;*;*;Nontechnical;<=50K
202;Male;*;*;spouse present;*;*;*;Nontechnical;<=50K
203;Male;*;*;spouse present;*;*;*;Technical;<=50K
204;Male;*;*;spouse not present;*;*;*;Technical;<=50K
205;Male;*;*;spouse present;*;*;*;Nontechnical;<=50K
206;Male;*;*;spouse not present;*;*;*;Other;<=50K
207;Male;*;*;spouse present;*;*;*;Other;<=50K
208;Female;*;*;*;*;*;*;Technical;<=50K
209;Female;*;*;*;*;*;*;Nontechnical;<=50K
210;Male;*;*;spouse present;*;*;*;Other;<=50K
211;Female;*;*;*;*;*;*;Other;<=50K
212;Female;*;*;*;*;*;*;Other;<=50K
213;Male;*;*;spouse not present;*;*;*;Other;<=50K
214;Female;*;*;*;*;*;*;Nontechnical;<=50K
215;Male;*;*;spouse not present;*;*;*;Other;<=50K
216;Female;*;*;*;*;*;*;Technical;<=50K
217;Male;*;*;spouse not present;*;*;*;Technical;>50K
218;Male;*;*;spouse present;*;*;*;Other;<=50K
219;Female;*;*;*;*;*;*;Other;<=50K
220;Male;*;*;spouse present;*;*;*;Nontechnical;>50K
221;Male;*;*;spouse present;*;*;*;Nontechnical;>50K
222;Male;*;*;spouse not present;*;*;*;Other;<=50K
223;Male;*;*;spouse present;*;*;*;Technical;>50K
224;Female;*;*;*;*;*;*;Other;<=50K
225;Male;*;*;spouse present;*;*;*;Other;<=50K
226;Male;*;*;spouse not present;*;*;*;Technical;<=50K
227;Male;*;*;spouse present;*;*;*;Other;>50K
228;Female;*;*;*;*;*;*;Other;<=50K
229;Male;*;*;spouse present;*;*;*;Technical;>50K
230;Female;*;*;*;*;*;*;Technical;>50K
231;Female;*;*;*;*;*;*;Other;<=50K
232;Female;*;*;*;*;*;*;Other;<=50K
233;Male;*;*;spouse not present;*;*;*;Other;<=50K
234;Male;*;*;spouse not present;*;*;*;Other;<=50K
235;Male;*;*;spouse present;*;*;*;Other;>50K
236;Female;*;*;*;*;*;*;Other;<=50K
237;Female;*;*;*;*;*;*;Other;<=50K
238;Female;*;*;*;*;*;*;Nontechnical;<=50K
239;Male;*;*;spouse not present;*;*;*;Technical;<=50K
240;Female;*;*;*;*;*;*;Technical;<=50K
241;Male;*;*;spouse present;*;*;*;Nontechnical;<=50K
242;Male;*;*;spouse not present;*;*;*;Other;<=50K
243;Male;*;*;spouse present;*;*;*;Nontechnical;<=50K
244;Male;*;*;spouse present;*;*;*;Technical;<=50K
245;Male;*;*;spouse present;*;*;*;Nontechnical;>50K
246;Male;*;*;spouse present;*;*;*;Nontechnical;>50K
247;Female;*;*;*;*;*;*;Technical;<=50K
248;Female;*;*;*;*;*;*;Technical;>50K
249;Male;*;*;spouse present;*;*;*;Nontechnical;>50K
250;Male;*;*;spouse not present;*;*;*;Other;<=50K
251;Male;*;*;spouse present;*;*;*;Other;<=50K
252;Male;*;*;spouse not present;*;*;*;Technical;<=50K
253;Female;*;*;*;*;*;*;Technical;<=50K
254;Male;*;*;spouse present;*;*;*;Nontechnical;<=50K
255;Male;*;*;spouse present;*;*;*;Technical;>50K
256;Female;*;*;*;*;*;*;Nontechnical;<=50K
257;Female;*;*;*;*;*;*;Technical;<=50K
258;Female;*;*;*;*;*;*;Technical;>50K
259;Female;*;*;*;*;*;*;Technical;<=50K
260;Male;*;*;spouse present;*;*;*;Technical;>50K
261;Female;*;*;*;*;*;*;Nontechnical;<=50K
262;Female;*;*;*;*;*;*;Technical;<=50K
263;Male;*;*;spouse not present;*;*;*;Nontechnical;<=50K
264;Male;*;*;spouse present;*;*;*;Nontechnical;>50K
265;Male;*;*;spouse present;*;*;*;Technical;>50K
266;Male;*;*;spouse not present;*;*;*;Other;<=50K
267;Female;*;*;*;*;*;*;Nontechnical;<=50K
268;Male;*;*;spouse present;*;*;*;Technical;<=50K
269;Male;*;*;spouse present;*;*;*;Technical;<=50K
270;Female;*;*;*;*;*;*;Technical;<=50K
271;Male;*;*;spouse not present;*;*;*;Other;<=50K
272;Male;*;*;spouse not present;*;*;*;Nontechnical;<=50K
273;Female;*;*;*;*;*;*;Technical;<=50K
274;Male;*;*;spouse present;*;*;*;Other;<=50K
275;Female;*;*;*;*;*;*;Nontechnical;<=50K
276;Male;*;*;spouse not present;*;*;*;Technical;<=50K
277;Male;*;*;spouse not present;*;*;*;Nontechnical;<=50K
278;Male;*;*;spouse present;*;*;*;Other;>50K
279;Female;*;*;*;*;*;*;Other;<=50K
280;Male;*;*;spouse present;*;*;*;Other;>50K
281;Male;*;*;spouse present;*;*;*;Nontechnical;>50K
282;Female;*;*;*;*;*;*;Other;<=50K
283;Female;*;*;*;*;*;*;Other;<=50K
284;Male;*;*;spouse not present;*;*;*;Technical;<=50K
285;Female;*;*;*;*;*;*;Technical;<=50K
286;Male;*;*;spouse present;*;*;*;Other;>50K
287;Male;*;*;spouse present;*;*;*;Other;>50K
288;Male;*;*;spouse not present;*;*;*;Nontechnical;<=50K
289;Male;*;*;spouse present;*;*;*;Nontechnical;>50K
290;Female;*;*;*;*;*;*;Technical;>50K
291;Male;*;*;spouse not present;*;*;*;Nontechnical;<=50K
292;Male;*;*;spouse not present;*;*;*;Technical;<=50K
293;Male;*;*;spouse present;*;*;*;Nontechnical;<=50K
294;Female;*;*;*;*;*;*;Technical;<=50K
295;Female;*;*;*;*;*;*;Technical;<=50K
296;Female;*;*;*;*;*;*;Other;<=50K
297;Male;*;*;spouse present;*;*;*;Nontechnical;<=50K
298;Male;*;*;spouse present;*;*;*;Technical;<=50K
299;Male;*;*;spouse not present;*;*;*;Other;<=50K
300;Female;*;*;*;*;*;*;Nontechnical;<=50K
301;Male;*;*;spouse present;*;*;*;Technical;<=50K
302;Male;*;*;spouse present;*;*;*;Other;<=50K
303;Female;*;*;*;*;*;*;Technical;>50K
304;Male;*;*;spouse present;*;*;*;Nontechnical;<=50K
305;Male;*;*;spouse not present;*;*;*;Other;<=50K
306;Male;*;*;spouse not present;*;*;*;Technical;<=50K
307;Male;*;*;spouse not present;*;*;*;Other;<=50K
308;Male;*;*;spouse not present;*;*;*;Other;<=50K
309;Male;*;*;spouse present;*;*;*;Other;<=50K
310;Male;*;*;spouse present;*;*;*;Other;<=50K
311;Male;*;*;spouse not present;*;*;*;Other;<=50K
312;Male;*;*;spouse not present;*;*;*;Technical;<=50K
313;Male;*;*;spouse not present;*;*;*;Technical;<=50K
314;Male;*;*;spouse not present;*;*;*;Nontechnical;<=50K
315;Male;*;*;spouse present;*;*;*;Other;<=50K
316;Male;*;*;spouse not present;*;*;*;Nontechnical;<=50K
317;Male;*;*;spouse present;*;*;*;Technical;>50K
318;Male;*;*;spouse present;*;*;*;Other;>50K
319;Male;*;*;spouse not present;*;*;*;Other;<=50K
320;Female;*;*;*;*;*;*;Other;<=50K
321;Male;*;*;spouse not present;*;*;*;Nontechnical;<=50K
322;Male;*;*;spouse not present;*;*;*;Other;<=50K
323;Male;*;*;spouse not present;*;*;*;Technical;<=50K
324;Male;*;*;spouse present;*;*;*;Nontechnical;>50K
325;Male;*;*;spouse present;*;*;*;Other;<=50K
326;Male;*;*;spouse present;*;*;*;Nontechnical;>50K
327;Male;*;*;spouse present;*;*;*;Other;<=50K
328;Male;*;*;spouse present;*;*;*;Other;>50K
329;Male;*;*;spouse not present;*;*;*;Other;<=50K
330;Male;*;*;spouse present;*;*;*;Technical;>50K
331;Female;*;*;*;*;*;*;Other;<=50K
332;Male;*;*;spouse present;*;*;*;Technical;<=50K
333;Female;*;*;*;*;*;*;Other;<=50K
334;Male;*;*;spouse present;*;*;*;Technical;>50K
335;Male;*;*;spouse present;*;*;*;Other;<=50K
336;Male;*;*;spouse not present;*;*;*;Nontechnical;>50K
337;Male;*;*;spouse not present;*;*;*;Nontechnical;<=50K
338;Male;*;*;spouse present;*;*;*;Technical;<=50K
339;Male;*;*;spouse present;*;*;*;Nontechnical;<=50K
340;Female;*;*;*;*;*;*;Nontechnical;<=50K
341;Female;*;*;*;*;*;*;Nontechnical;>50K
342;Female;*;*;*;*;*;*;Nontechnical;<=50K
343;Female;*;*;*;*;*;*;Other;<=50K
344;Male;*;*;spouse not present;*;*;*;Other;<=50K
345;Male;*;*;spouse present;*;*;*;Technical;>50K
346;Male;*;*;spouse present;*;*;*;Technical;<=50K
347;Male;*;*;spouse not present;*;*;*;Technical;<=50K
348;Female;*;*;*;*;*;*;Other;<=50K
349;Female;*;*;*;*;*;*;Technical;<=50K
350;Male;*;*;spouse not present;*;*;*;Nontechnical;<=50K
351;Male;*;*;spouse not present;*;*;*;Nontechnical;<=50K
352;Male;*;*;spouse present;*;*;*;Nontechnical;<=50K
353;Male;*;*;spouse not present;*;*;*;Other;<=50K
354;Female;*;*;*;*;*;*;Technical;<=50K
355;Male;*;*;spouse present;*;*;*;Technical;<=50K
356;Female;*;*;*;*;*;*;Nontechnical;<=50K
357;Female;*;*;*;*;*;*;Other;<=50K
358;Female;*;*;*;*;*;*;Other;<=50K
359;Male;*;*;spouse not present;*;*;*;Technical;<=50K
360;Female;*;*;*;*;*;*;Other;>50K
361;Female;*;*;*;*;*;*;Other;<=50K
362;Female;*;*;*;*;*;*;Other;<=50K
363;Female;*;*;*;*;*;*;Other;>50K
364;Male;*;*;spouse not present;*;*;*;Technical;<=50K
365;Male;*;*;spouse not present;*;*;*;Technical;<=50K
366;Female;*;*;*;*;*;*;Other;<=50K
367;Male;*;*;spouse present;*;*;*;Technical;<=50K
368;Female;*;*;*;*;*;*;Nontechnical;<=50K
369;Male;*;*;spouse present;*;*;*;Nontechnical;>50K
370;Male;*;*;spouse present;*;*;*;Nontechnical;>50K
371;Male;*;*;spouse not present;*;*;*;Nontechnical;<=50K
372;Female;*;*;*;*;*;*;Other;<=50K
373;Male;*;*;spouse present;*;*;*;Other;>50K
374;Female;*;*;*;*;*;*;Technical;<=50K
375;Male;*;*;spouse present;*;*;*;Nontechnical;<=50K
376;Male;*;*;spouse present;*;*;*;Nontechnical;>50K
377;Male;*;*;spouse present;*;*;*;Other;<=50K
378;Male;*;*;spouse present;*;*;*;Technical;<=50K
379;Male;*;*;spouse present;*;*;*;Nontechnical;<=50K
380;Female;*;*;*;*;*;*;Other;<=50K
381;Female;*;*;*;*;*;*;Nontechnical;<=50K
382;Female;*;*;*;*;*;*;Nontechnical;<=50K
383;Male;*;*;spouse present;*;*;*;Nontechnical;>50K
384;Male;*;*;spouse present;*;*;*;Technical;<=50K
385;Male;*;*;spouse not present;*;*;*;Technical;>50K
386;Male;*;*;spouse present;*;*;*;Technical;<=50K
387;Female;*;*;*;*;*;*;Other;<=50K
388;Male;*;*;spouse not present;*;*;*;Technical;<=50K
389;Female;*;*;*;*;*;*;Other;<=50K
390;Male;*;*;spouse present;*;*;*;Nontechnical;<=50K
391;Male;*;*;spouse not present;*;*;*;Nontechnical;<=50K
392;Female;*;*;*;*;*;*;Nontechnical;>50K
393;Male;*;*;spouse not present;*;*;*;Other;<=50K
394;Female;*;*;*;*;*;*;Technical;<=50K
395;Male;*;*;spouse present;*;*;*;Other;<=50K
396;Male;*;*;spouse not present;*;*;*;Technical;<=50K
397;Male;*;*;spouse not present;*;*;*;Nontechnical;<=50K
398;Male;*;*;spouse present;*;*;*;Nontechnical;>50K
399;Male;*;*;spouse present;*;*;*;Technical;<=50K
400;Female;*;*;*;*;*;*;Technical;<=50K
401;Female;*;*;*;*;*;*;Other;>50K
402;Male;*;*;spouse not present;*;*;*;Technical;<=50K
403;Male;*;*;spouse present;*;*;*;Technical;>50K
404;Male;*;*;spouse not present;*;*;*;Other;<=50K
405;Female;*;*;*;*;*;*;Other;<=50K
406;Male;*;*;spouse present;*;*;*;Other;<=50K
407;Female;*;*;*;*;*;*;Other;<=50K
408;Male;*;*;spouse not present;*;*;*;Technical;<=50K
409;Female;*;*;*;*;*;*;Other;<=50K
410;Male;*;*;spouse not present;*;*;*;Other;<=50K
411;Male;*;*;spouse present;*;*;*;Technical;>50K
412;Male;*;*;spouse not present;*;*;*;Technical;<=50K
413;Male;*;*;spouse not present;*;*;*;Nontechnical;<=50K
414;Female;*;*;*;*;*;*;Nontechnical;<=50K
415;Male;*;*;spouse present;*;*;*;Technical;<=50K
416;Male;*;*;spouse present;*;*;*;Technical;<=50K
417;Female;*;*;*;*;*;*;Technical;<=50K
418;Male;*;*;spouse present;*;*;*;Technical;>50K
419;Male;*;*;spouse present;*;*;*;Technical;>50K
420;Female;*;*;*;*;*;*;Nontechnical;>50K
421;Male;*;*;spouse present;*;*;*;Technical;>50K
422;Female;*;*;*;*;*;*;Nontechnical;<=50K
423;Male;*;*;spouse present;*;*;*;Other;<=50K
424;Male;*;*;spouse present;*;*;*;Other;<=50K
425;Male;*;*;spouse not present;*;*;*;Other;<=50K
426;Male;*;*;spouse present;*;*;*;Other;<=50K
427;Male;*;*;spouse present;*;*;*;Technical;<=50K
428;Male;*;*;spouse not present;*;*;*;Technical;<=50K
429;Female;*;*;*;*;*;*;Technical;<=50K
430;Female;*;*;*;*;*;*;Other;<=50K
431;Male;*;*;spouse not present;*;*;*;Other;<=50K
432;Male;*;*;spouse present;*;*;*;Other;<=50K
433;Male;*;*;spouse present;*;*;*;Nontechnical;>50K
434;Female;*;*;*;*;*;*;Technical;>50K
435;Male;*;*;spouse not present;*;*;*;Technical;>50K
436;Male;*;*;spouse not present;*;*;*;Technical;<=50K
437;Male;*;*;spouse not present;*;*;*;Other;<=50K
438;Female;*;*;*;*;*;*;Other;<=50K
439;Female;*;*;*;*;*;*;Technical;<=50K
440;Male;*;*;spouse not present;*;*;*;Other;<=50K
441;Male;*;*;spouse not present;*;*;*;Nontechnical;<=50K
442;Male;*;*;spouse not present;*;*;*;Other;<=50K
443;Female;*;*;*;*;*;*;Other;<=50K
444;Male;*;*;spouse present;*;*;*;Technical;<=50K
445;Male;*;*;spouse present;*;*;*;Technical;<=50K
446;Male;*;*;spouse not present;*;*;*;Technical;<=50K
447;Female;*;*;*;*;*;*;Technical;<=50K
448;Female;*;*;*;*;*;*;Other;<=50K
449;Male;*;*;spouse present;*;*;*;Other;<=50K
450;Female;*;*;*;*;*;*;Technical;<=50K
451;Male;*;*;spouse present;*;*;*;Nontechnical;>50K
452;Female;*;*;*;*;*;*;Other;<=50K
453;Male;*;*;spouse not present;*;*;*;Other;<=50K
454;Female;*;*;*;*;*;*;Nontechnical;<=50K
455;Female;*;*;*;*;*;*;Technical;<=50K
456;Male;*;*;spouse not present;*;*;*;Technical;<=50K
457;Female;*;*;*;*;*;*;Other;<=50K
458;Male;*;*;spouse not present;*;*;*;Technical;<=50K
459;Male;*;*;spouse not present;*;*;*;Other;<=50K
460;Female;*;*;*;*;*;*;Technical;<=50K
461;Male;*;*;spouse not present;*;*;*;Other;<=50K
462;Male;*;*;spouse present;*;*;*;Other;<=50K
463;Male;*;*;spouse present;*;*;*;Other;<=50K
464;Female;*;*;*;*;*;*;Other;<=50K
465;Female;*;*;*;*;*;*;Nontechnical;<=50K
466;Male;*;*;spouse not present;*;*;*;Nontechnical;<=50K
467;Male;*;*;spouse not present;*;*;*;Other;<=50K
468;Male;*;*;spouse present;*;*;*;Nontechnical;<=50K
469;Female;*;*;*;*;*;*;Other;<=50K
470;Female;*;*;*;*;*;*;Other;<=50K
471;Male;*;*;spouse not present;*;*;*;Nontechnical;<=50K
472;Male;*;*;spouse not present;*;*;*;Technical;<=50K
473;Male;*;*;spouse present;*;*;*;Technical;>50K
474;Male;*;*;spouse not present;*;*;*;Technical;<=50K
475;Female;*;*;*;*;*;*;Other;<=50K
476;Male;*;*;spouse present;*;*;*;Technical;>50K
477;Male;*;*;spouse present;*;*;*;Nontechnical;>50K
478;Male;*;*;spouse present;*;*;*;Nontechnical;>50K
479;Male;*;*;spouse not present;*;*;*;Nontechnical;<=50K
480;Male;*;*;spouse present;*;*;*;Technical;>50K
481;Male;*;*;spouse not present;*;*;*;Technical;>50K
482;Female;*;*;*;*;*;*;Nontechnical;<=50K
483;Male;*;*;spouse present;*;*;*;Nontechnical;>50K
484;Female;*;*;*;*;*;*;Other;<=50K
485;Male;*;*;spouse present;*;*;*;Technical;<=50K
